omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
4.42705429128218	NaN	3.35509851129333	0.869720474859697
4.24538230423424	NaN	0.687620722828325	0.296881457072333
7.04557952050597	0.400113307800654	NaN	0.200844152405195
3.32579662917401	1.86665752858194	1.74136843677639	NaN
0.121508267638969	NaN	1.50353927451678	1.57147781426517
NaN	4.03210614790276	NaN	0.0143355631363850
6.57828048740228	2.92693142967067	1.12816847109246	NaN
4.12388028544461	2.26024449363216	1.17471961967520	NaN
0.382824527788396	NaN	2.77714471719437	1.22924511474452
1.18004512940445	NaN	NaN	NaN
0.427733085235283	NaN	NaN	NaN
0.486329433511610	0.716260794590493	NaN	0.878793224501199
1.22551274061924	0.675658813866889	0.788547074666599	NaN
4.47673919302823	NaN	0.268392403968235	NaN
3.37768723858699	1.36746033001346	NaN	NaN
4.22841892763462	8.92472803203088	0.566346137306988	0.495975627486952
7.92119462059557	NaN	NaN	NaN
2.24702255360524	NaN	NaN	NaN
4.42751021838867	4.40893794792052	NaN	NaN
0.0491931520773812	NaN	NaN	NaN
0.211561195759939	NaN	1.83481938944206	0.0713542729226293
4.73159714052995	0.0216517863139419	NaN	NaN
2.43151531980097	NaN	NaN	0.893519271664516
0.463700509498177	0.0661942386422101	NaN	3.11816755651084
0.847255718573202	4.64870185352356	2.05328646736189	NaN
0.284746686410032	1.52478400553074	0.729731207168608	NaN
0.953395818542422	0.135196458581219	0.723461880086487	NaN
0.0869984253042317	0.126771097313485	1.88911005833811	2.05196074719985
2.88397097790348	1.21952831948054	0.462752058716030	1.09752306424574
0.408414046544835	NaN	NaN	NaN
2.43770765512796	0.477200831729054	2.50479756971910	NaN
0.00626003607803755	NaN	NaN	0.640656119513463
2.22833500309319	0.255164601793184	NaN	NaN
8.84229250004297	0.911114955413223	NaN	2.71805983991747
NaN	NaN	NaN	NaN
2.13076824256782	2.27090282880321	0.529486268392298	NaN
0.137906660123137	NaN	NaN	1.08778930702209
NaN	1.11698589909184	NaN	0.792996791302627
0.630785033052766	NaN	0.921829375436944	0.716653745337100
4.31034012480617	NaN	0.291523511801943	NaN
NaN	0.412944842768438	0.419096116577470	NaN
4.91943666146210	0.846844815834735	NaN	NaN
4.47941245009962	0.686946158796173	NaN	0.618026099114658
0.139679550515733	0.282512198044938	NaN	NaN
0.174787435144015	0.239570422847134	NaN	NaN
0.833257857529334	NaN	1.35317953710125	0.0619327437743515
1.27327722810547	0.987942114918399	0.371608331315618	0.422691636109408
0.102204041490716	8.59525866656834	NaN	NaN
0.980000386347680	1.50113084565829	NaN	NaN
0.944964504760959	NaN	NaN	1.58491438156523
3.38666110550894	NaN	NaN	NaN
NaN	NaN	NaN	0.0745965060728020
0.153575342485572	NaN	1.71179695225188	NaN
0.0830373026822483	0.405391160888783	2.53439715779413	0.445805841882360
0.752269703336661	3.40183831829855	NaN	NaN
NaN	0.0350669783127527	NaN	0.411875594417483
1.49708083209286	NaN	NaN	0.741246448638088
2.82070476791251	1.69329424747229	0.702236247678293	0.168863510060200
0.00701744612827642	NaN	0.811185170514351	NaN
1.61197788358797	NaN	NaN	NaN
2.47569635884756	4.41970767349597	NaN	0.438875783306487
NaN	1.30429651916729	0.719624725390040	0.116171328120336
0.406929351325444	1.66831017224006	NaN	NaN
2.41080404020594	1.57723565664604	1.53065952015580	0.455051969769155
2.71485649746495	4.27351077970985	0.627105546033159	NaN
0.486206170131264	NaN	NaN	1.18277886102642
0.639060506961724	0.206328090371770	0.124452104522202	NaN
3.25286309260215	0.184076027115154	0.00751459339517551	NaN
1.21365810426100	NaN	NaN	0.433232992079999
4.64024167260715	NaN	NaN	NaN
1.86221482760731	1.96236001467712	2.85654527929938	NaN
2.50208503333905	0.253646762869098	NaN	NaN
1.02138958431785	NaN	0.230871866859162	0.224915168684107
4.68570798221060	2.12509928411774	NaN	NaN
NaN	0.285759882284880	0.567345788465453	NaN
2.03080388875117	NaN	1.53513541556469	NaN
0.373154799771278	NaN	NaN	NaN
NaN	5.90980279678835	NaN	NaN
0.729733777080510	0.754741916088656	NaN	NaN
0.177275064964225	NaN	NaN	NaN
0.994833029539308	NaN	NaN	NaN
1.51093863158731	1.54872316196243	0.893083903399108	NaN
NaN	NaN	NaN	NaN
4.50231324176454	NaN	NaN	NaN
5.02176538014694	NaN	3.77435741645018	NaN
0.961797137323593	NaN	NaN	NaN
0.832210060704312	NaN	NaN	NaN
3.64400753250013	0.743467357357419	0.133475571282075	1.81069119418303
1.15205136336860	0.266518609843369	2.90466096570997	1.73951799931314
1.30587914953845	1.14233017149669	NaN	NaN
2.38606214675984	0.650025089729527	NaN	NaN
NaN	NaN	NaN	NaN
0.805978389461898	NaN	NaN	NaN
1.75402478315959	NaN	0.555607613461741	NaN
4.66321316430831	2.64936105931461	0.491516004897032	0.518061231468258
2.15869344610246	NaN	NaN	NaN
2.63796259711680	NaN	1.71644882279767	0.922797782829632
0.352984351677373	0.110677493813715	NaN	0.872048726078560
1.78436762985464	2.18654269445184	NaN	NaN
1.04643727762065	1.45497086670411	NaN	1.07227017387706
4.59921739326059	NaN	0.193406645008890	NaN
0.893760975598891	NaN	0.00705339055863889	NaN
1.02053048710630	2.16202077532451	NaN	NaN
2.61624899378918	0.363052001173263	NaN	NaN
NaN	1.15943951505382	2.20126156775478	1.30129860486694
1.28028267608775	NaN	NaN	NaN
0.303917674454213	1.49772572209974	NaN	0.478237321714265
0.419131149582758	0.177956462159832	NaN	NaN
NaN	0.691731045904633	NaN	NaN
3.25577487806460	NaN	NaN	0.777559324974015
1.40824469372156	0.329077373393565	NaN	NaN
2.19585920654645	1.72264598766041	NaN	NaN
2.06381567134865	NaN	0.594004520139811	NaN
0.735122769237791	NaN	0.431443382048916	NaN
5.32177933983587	NaN	NaN	NaN
NaN	0.0992615408863960	NaN	NaN
0.377509607002530	NaN	1.18028898556140	NaN
1.71975653904225	0.954466044756105	NaN	NaN
2.76309714522244	1.02835816373024	0.759398560715205	NaN
0.642865959153107	0.252659595007331	NaN	NaN
2.09457650559349	0.0575774977113276	0.947598795970167	NaN
2.24569524578074	1.01509416070975	NaN	NaN
2.64573405325213	NaN	NaN	NaN
1.94853026500196	0.278226091338862	NaN	1.64521544934884
NaN	NaN	3.05201426207197	1.19949655449499
NaN	NaN	NaN	NaN
NaN	0.436182037730411	NaN	NaN
0.773885566823890	NaN	1.34820715106426	0.787131129305849
1.95170519961158	0.696861739815682	NaN	NaN
6.97636689441846	NaN	NaN	NaN
NaN	NaN	1.04470968152312	1.33502788249068
1.94954803578719	NaN	3.20936440535929	0.426422732549909
9.09337777277271	0.794362885205958	0.273503094326081	NaN
NaN	NaN	NaN	NaN
1.22232800060617	1.26717396882210	NaN	0.260398164330653
1.06588501992884	NaN	NaN	0.318704710075123
1.51188151456054	0.00287157635609187	3.16719045857445	0.773489158148342
1.35275568239069	NaN	NaN	0.944222818892755
4.72412041338253	0.337606196770353	1.11333933605542	NaN
8.63687296946091	0.743094010755586	NaN	NaN
1.65453984905627	0.0137163528787835	NaN	NaN
0.547093951977114	0.598757384759840	NaN	NaN
0.192246697151574	0.779203624564880	NaN	NaN
0.278839295929527	2.84147610451910	0.389733414756201	0.124605515098371
0.142949481453627	2.35593948000502	1.56887271292245	1.51927410753779
0.467081007427880	1.72509456739874	NaN	0.370948689913429
0.450283751555365	0.743749959041359	NaN	0.145098667884763
1.50261432741717	2.65819846936268	1.50224602981704	0.844273561739477
