theta0 = 0
tau_c	omega = 1.0	omega = 0.9	omega = 0.8
0.100000000000000	0.0446000000000000	0.0417000000000000	0.0339000000000000
0.200000000000000	0.0925000000000000	0.0823000000000000	0.0709000000000000
0.300000000000000	0.128500000000000	0.109900000000000	0.0943000000000000
0.400000000000000	0.165400000000000	0.140600000000000	0.113500000000000
0.500000000000000	0.193200000000000	0.174800000000000	0.137200000000000
0.600000000000000	0.234500000000000	0.194000000000000	0.156700000000000
0.700000000000000	0.260000000000000	0.211700000000000	0.171400000000000
0.800000000000000	0.296400000000000	0.235200000000000	0.191100000000000
0.900000000000000	0.319400000000000	0.249700000000000	0.209600000000000
1	0.342400000000000	0.269500000000000	0.211300000000000
1.10000000000000	0.363900000000000	0.286500000000000	0.218400000000000
1.20000000000000	0.384900000000000	0.289200000000000	0.225100000000000
1.30000000000000	0.404400000000000	0.304100000000000	0.234300000000000
1.40000000000000	0.422200000000000	0.324600000000000	0.248000000000000
1.50000000000000	0.439800000000000	0.326600000000000	0.243700000000000
1.60000000000000	0.460600000000000	0.331000000000000	0.247500000000000
1.70000000000000	0.481700000000000	0.342200000000000	0.269500000000000
1.80000000000000	0.487800000000000	0.356400000000000	0.262700000000000
1.90000000000000	0.492300000000000	0.349400000000000	0.260100000000000
2	0.516400000000000	0.359000000000000	0.266600000000000
2.10000000000000	0.517200000000000	0.359000000000000	0.266500000000000
2.20000000000000	0.538500000000000	0.370600000000000	0.268000000000000
2.30000000000000	0.552100000000000	0.382100000000000	0.271300000000000
2.40000000000000	0.575300000000000	0.377100000000000	0.272000000000000
2.50000000000000	0.570000000000000	0.382700000000000	0.275300000000000
2.60000000000000	0.584800000000000	0.379300000000000	0.279300000000000
2.70000000000000	0.583700000000000	0.390200000000000	0.277900000000000
2.80000000000000	0.603000000000000	0.395000000000000	0.275800000000000
2.90000000000000	0.615400000000000	0.393400000000000	0.276800000000000
3.00000000000000	0.624100000000000	0.397600000000000	0.281600000000000
3.10000000000000	0.632000000000000	0.393200000000000	0.280600000000000
3.20000000000000	0.640500000000000	0.407900000000000	0.275000000000000
3.30000000000000	0.642700000000000	0.402900000000000	0.282000000000000
3.40000000000000	0.645900000000000	0.412900000000000	0.283200000000000
3.50000000000000	0.657000000000000	0.400300000000000	0.274400000000000
3.60000000000000	0.671500000000000	0.408000000000000	0.288900000000000
3.70000000000000	0.676700000000000	0.405100000000000	0.287100000000000
3.80000000000000	0.681100000000000	0.400200000000000	0.282300000000000
3.90000000000000	0.680400000000000	0.408300000000000	0.285600000000000
4	0.697800000000000	0.410700000000000	0.286600000000000
4.10000000000000	0.687200000000000	0.413000000000000	0.290100000000000
4.20000000000000	0.707000000000000	0.404100000000000	0.289200000000000
4.30000000000000	0.714700000000000	0.412700000000000	0.294400000000000
4.40000000000000	0.717500000000000	0.410900000000000	0.291900000000000
4.50000000000000	0.719100000000000	0.410500000000000	0.298300000000000
4.60000000000000	0.721300000000000	0.415300000000000	0.288200000000000
4.70000000000000	0.722200000000000	0.418000000000000	0.291400000000000
4.80000000000000	0.727300000000000	0.408200000000000	0.285400000000000
4.90000000000000	0.739100000000000	0.413100000000000	0.280200000000000
5	0.740500000000000	0.414900000000000	0.279400000000000
5.10000000000000	0.748900000000000	0.407900000000000	0.284000000000000
5.20000000000000	0.748600000000000	0.413700000000000	0.282500000000000
5.30000000000000	0.747000000000000	0.412100000000000	0.279500000000000
5.40000000000000	0.763400000000000	0.412900000000000	0.280200000000000
5.50000000000000	0.759800000000000	0.405600000000000	0.284900000000000
5.60000000000000	0.755500000000000	0.414600000000000	0.293100000000000
5.70000000000000	0.763900000000000	0.414000000000000	0.283400000000000
5.80000000000000	0.765600000000000	0.411400000000000	0.281600000000000
5.90000000000000	0.769600000000000	0.413600000000000	0.288400000000000
6	0.776800000000000	0.411400000000000	0.284400000000000
6.10000000000000	0.779900000000000	0.415800000000000	0.289900000000000
6.20000000000000	0.782600000000000	0.410500000000000	0.283100000000000
6.30000000000000	0.786000000000000	0.412500000000000	0.287700000000000
6.40000000000000	0.789500000000000	0.410500000000000	0.288800000000000
6.50000000000000	0.784800000000000	0.418600000000000	0.281100000000000
6.60000000000000	0.792800000000000	0.414800000000000	0.284800000000000
6.70000000000000	0.789100000000000	0.410200000000000	0.286000000000000
6.80000000000000	0.796300000000000	0.418200000000000	0.281100000000000
6.90000000000000	0.793900000000000	0.421100000000000	0.282000000000000
7	0.801500000000000	0.413500000000000	0.292200000000000
7.10000000000000	0.803200000000000	0.424800000000000	0.279200000000000
7.20000000000000	0.813700000000000	0.414300000000000	0.277200000000000
7.30000000000000	0.807200000000000	0.416800000000000	0.286500000000000
7.40000000000000	0.808300000000000	0.416000000000000	0.283000000000000
7.50000000000000	0.818600000000000	0.412500000000000	0.290300000000000
7.60000000000000	0.809400000000000	0.414800000000000	0.277400000000000
7.70000000000000	0.816500000000000	0.420000000000000	0.287800000000000
7.80000000000000	0.812900000000000	0.405300000000000	0.286800000000000
7.90000000000000	0.822300000000000	0.409700000000000	0.283100000000000
8	0.822800000000000	0.412500000000000	0.297800000000000
8.10000000000000	0.827000000000000	0.412600000000000	0.289900000000000
8.20000000000000	0.825600000000000	0.416100000000000	0.285000000000000
8.30000000000000	0.821200000000000	0.413900000000000	0.281500000000000
8.40000000000000	0.832200000000000	0.416800000000000	0.286200000000000
8.50000000000000	0.832100000000000	0.413000000000000	0.280100000000000
8.60000000000000	0.839100000000000	0.417700000000000	0.281700000000000
8.70000000000000	0.838100000000000	0.411100000000000	0.289900000000000
